N,delta,alpha
1,0.98038038038,0.980297
1,0.98048048048,0.980282
1,0.980580580581,0.980622
1,0.980680680681,0.980578
1,0.980780780781,0.980855
1,0.980880880881,0.980747
1,0.980980980981,0.981178
1,0.981081081081,0.981087
1,0.981181181181,0.981083
1,0.981281281281,0.981105
1,0.981381381381,0.981279
1,0.981481481481,0.981409
1,0.981581581582,0.98138
1,0.981681681682,0.981781
1,0.981781781782,0.981878
1,0.981881881882,0.981967
1,0.981981981982,0.982131
1,0.982082082082,0.982269
1,0.982182182182,0.982189
1,0.982282282282,0.982403
1,0.982382382382,0.982299
1,0.982482482482,0.982416
1,0.982582582583,0.982593
1,0.982682682683,0.982685
1,0.982782782783,0.982752
1,0.982882882883,0.98275
1,0.982982982983,0.983047
1,0.983083083083,0.982855
1,0.983183183183,0.983052
1,0.983283283283,0.983184
1,0.983383383383,0.983425
1,0.983483483483,0.983493
1,0.983583583584,0.983443
1,0.983683683684,0.983602
1,0.983783783784,0.983783
1,0.983883883884,0.9839
1,0.983983983984,0.9840409999999999
1,0.984084084084,0.984109
1,0.984184184184,0.984156
1,0.984284284284,0.984375
1,0.984384384384,0.984407
1,0.984484484484,0.984449
1,0.984584584585,0.984677
1,0.984684684685,0.984494
1,0.984784784785,0.984804
1,0.984884884885,0.984747
1,0.984984984985,0.985077
1,0.985085085085,0.985128
1,0.985185185185,0.985342
1,0.985285285285,0.985125
1,0.985385385385,0.985459
1,0.985485485485,0.985257
1,0.985585585586,0.985549
1,0.985685685686,0.985848
1,0.985785785786,0.985672
1,0.985885885886,0.985934
1,0.985985985986,0.98591
1,0.986086086086,0.985919
1,0.986186186186,0.986285
1,0.986286286286,0.9863729999999999
1,0.986386386386,0.986539
1,0.986486486486,0.986596
1,0.986586586587,0.986778
1,0.986686686687,0.986543
1,0.986786786787,0.986921
1,0.986886886887,0.986733
1,0.986986986987,0.986788
1,0.987087087087,0.987192
1,0.987187187187,0.987192
1,0.987287287287,0.987283
1,0.987387387387,0.987325
1,0.987487487487,0.987504
1,0.987587587588,0.98771
1,0.987687687688,0.987674
1,0.987787787788,0.98791
1,0.987887887888,0.988082
1,0.987987987988,0.988018
1,0.988088088088,0.988002
1,0.988188188188,0.988168
1,0.988288288288,0.988439
1,0.988388388388,0.988198
1,0.988488488488,0.988639
1,0.988588588589,0.988624
1,0.988688688689,0.988712
1,0.988788788789,0.98874
1,0.988888888889,0.988854
1,0.988988988989,0.989099
1,0.989089089089,0.989089
1,0.989189189189,0.989247
1,0.989289289289,0.989363
1,0.989389389389,0.989147
1,0.989489489489,0.989432
1,0.98958958959,0.989671
1,0.98968968969,0.989721
1,0.98978978979,0.989776
1,0.98988988989,0.98981
1,0.98998998999,0.989972
1,0.99009009009,0.990041
1,0.99019019019,0.990131
1,0.99029029029,0.990194
1,0.99039039039,0.990428
1,0.99049049049,0.990683
1,0.990590590591,0.990603
1,0.990690690691,0.990612
1,0.990790790791,0.99081
1,0.990890890891,0.990895
1,0.990990990991,0.991133
1,0.991091091091,0.990998
1,0.991191191191,0.991303
1,0.991291291291,0.991175
1,0.991391391391,0.991325
1,0.991491491491,0.991436
1,0.991591591592,0.991669
1,0.991691691692,0.991831
1,0.991791791792,0.991786
1,0.991891891892,0.991841
1,0.991991991992,0.992062
1,0.992092092092,0.992063
1,0.992192192192,0.992073
1,0.992292292292,0.992254
1,0.992392392392,0.992465
1,0.992492492492,0.992505
